"","zip","state","DurationSec","DemoState","DemoZip","PersonalExpYN","EEAttributionNoExper","PersonalExpType","PersonalExpTypeOE","PersonalExpImpact","PersonalExpImpactOE","EEIntensity","EEFrequency","EEAttributionExper","CCHumanCaused","PsyDistClimateGroup","PsyDistNumber","PsyDistLocal","PsyDistFar","PsyDistDevelop","PsyDistImpact","PsyDistEffects","WTPPolicy","EcolEconGrowth","EcolEconRelationship","EcolEconGraphic","CCHumanActivity","CCHumanActDeforest","CCHumanActFossil","CCHumanActCigarette","CCHumanActCFC","CCHumanActToxic","CCHumanActNuclear","PriorityTerrorist","PriorityEconomy","PriorityHealthcare","PriorityEducation","PriorityEnvironment","PriorityImmigration","PriorityBudget","PriorityClimate","PriorityJob","PriorityMilitary","PriorityRace","PriorityCovid","DemoPresElection","DemoPolitical","gc","wtpValue","LS","EEAttributionAll","EEExposure","CCDenierOrNot","DemoPol.3GRModSeparate","DemoPol.3Groups","PersonalExpType_wildfire","PersonalExpType_hurricane","PersonalExpType_flood","PersonalExpType_heat","PersonalExpType_drought","PersonalExpType_tornado","PersonalExpType_other","PersonalExpType_total","PersonalExpImpact_smoke","PersonalExpImpact_sheltering","PersonalExpImpact_nearmiss","PersonalExpImpact_evacuate","PersonalExpImpact_livingquarterdamage","PersonalExpImpact_livingquarterlost","PersonalExpImpact_incomelost","PersonalExpImpact_other","PersonalExpImpact_total","EEExposureAll","extremeExperienceYN","EEIntensityAll","wtp","c2","c3","t1a","t1b","t2a","t2b","t3a","t3b","t4","c1","t1","t2","t3","tA","tB","climateTopPriority","EEFrequency_std","EEIntensity_std","EEExposure_std","EEAttributionAll_std","EEAttributionXIntensity","EEAttributionXExposure","EEExposureAll_std","EEIntensityAll_std","DuplicatedZip","biden","trump","nonvoter","thirdparty","bipoc","age","male","collegeGrad","income","ccHumanCaused","ccNatureCaused","ccNotHappening"
"11","97030","Oregon",874,"Oregon",97030,1,NA,"1",NA,"1",NA,5,2,7,1,NA,NA,6,3,3,6,2,1,3,NA,2,NA,NA,NA,NA,NA,NA,NA,3,3,4,4,3,3,3,3,3,3,3,3,3,4,1,105,873,7,7,0,2,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,7,1,5,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,-0.329521125,0.143476295,-0.022016459,0.387815771,35,49,0.851374419,0.932466176,FALSE,1,0,0,0,1,39.5,0,0,125,1,0,0
"12","39047","Mississippi",1125,"Mississippi",39047,1,NA,"2",NA,"5",NA,6,3,5,1,2,7,4,4,4,4,1,1,2,NA,2,25,NA,1,NA,NA,2,NA,3,3,3,3,4,3,3,4,3,3,3,4,3,4,1,145,873,5,9,0,2,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,9,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.470028933,0.558250746,0.647991961,-0.29084796,30,45,1.337555176,1.279249712,FALSE,1,0,0,0,1,49.5,0,1,62.5,1,0,0
"13","33174","Florida",825,"Florida",33174,2,10,NA,NA,NA,NA,NA,NA,NA,1,1,6,6,6,6,6,1,1,1,1,NA,34,NA,NA,1,2,NA,NA,4,4,3,4,4,4,2,4,4,3,4,4,1,4,1,205,873,10,NA,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,NA,NA,NA,1.405811368,NA,NA,-0.850258229,-0.801451504,FALSE,0,0,1,0,1,21,0,1,62.5,1,0,0
"14","92562","California",802,"California",92562,1,NA,"2 3 4 6",NA,NA,NA,6,2,5,2,3,10,7,5,6,6,6,1,1,NA,2,14,1,NA,NA,2,NA,NA,4,3,3,3,4,4,4,4,4,3,4,4,3,6,1,145,873,5,8,1,3,3,0,1,1,1,0,1,0,4,0,0,0,0,0,0,0,0,0,8,1,6,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,-0.329521125,0.558250746,0.312987751,-0.29084796,30,40,1.094464798,1.279249712,FALSE,1,0,0,0,1,29.5,0,0,37.5,0,1,0
"15","10460","New York",374,"New York",10460,2,6,NA,NA,NA,NA,NA,NA,NA,1,1,6,4,4,5,5,4,1,4,2,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,3,3,2,4,3,3,2,2,4,2,1,85,873,6,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,NA,NA,NA,0.048483906,NA,NA,-0.850258229,-0.801451504,FALSE,0,0,0,1,1,29.5,1,1,37.5,1,0,0
"16","11385","New York",488,"New York",11385,2,3,NA,NA,NA,NA,NA,NA,NA,2,1,5,5,3,3,6,2,2,2,2,NA,62,NA,2,NA,NA,NA,1,4,1,4,4,4,3,1,4,4,3,4,4,1,2,1,65,873,3,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,NA,NA,NA,-0.969511691,NA,NA,-0.850258229,-0.801451504,FALSE,0,0,1,0,1,21,1,1,10,0,1,0
"17","30106","Georgia",1222,"Georgia",30106,2,10,NA,NA,NA,NA,NA,NA,NA,2,2,7,5,5,6,6,3,1,1,1,NA,42,NA,2,NA,1,NA,NA,4,4,4,4,4,4,4,4,4,4,4,4,4,2,1,65,873,10,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,1.405811368,NA,NA,-0.850258229,-0.801451504,FALSE,0,0,0,1,1,70,0,1,17.5,0,1,0
"18","98444","Washington",838,"Washington",98444,1,NA,"3",NA,"2 7",NA,8,1,6,1,2,7,2,2,3,3,3,2,2,2,NA,26,NA,1,NA,NA,NA,2,4,3,4,4,4,2,2,3,4,4,3,3,3,2,1,245,873,6,9,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,2,9,1,8,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,-1.129071183,1.387799647,0.647991961,0.048483906,48,54,1.337555176,1.972816784,FALSE,1,0,0,0,1,29.5,1,1,62.5,1,0,0
"19","10453","New York",592,"New York",10453,1,NA,"1 2 3 5 6",NA,NA,NA,1,1,1,1,1,5,4,4,4,4,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,4,4,4,4,4,4,3,4,4,1,4,1,45,873,1,2,0,2,2,1,1,1,0,1,1,0,5,0,0,0,0,0,0,0,0,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.129071183,-1.515621508,-1.69703751,-1.648175423,1,2,-0.364077472,-0.454667968,FALSE,0,0,1,0,0,29.5,0,0,62.5,1,0,0
"20","33010","Florida",275,"Florida",33010,1,NA,"2 3 6",NA,"2 4 5",NA,7,2,8,1,3,10,7,1,7,7,1,1,1,NA,1,24,NA,1,NA,2,NA,NA,4,4,4,4,4,4,3,4,4,2,3,4,3,6,1,45,873,8,9,0,3,3,0,1,1,0,0,1,0,3,0,1,0,0,1,0,0,0,2,9,1,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-0.329521125,0.973025196,0.647991961,0.727147637,56,72,1.337555176,1.626033248,FALSE,1,0,0,0,1,39.5,1,1,37.5,1,0,0
"21","12202","New York",442,"New York",12202,2,8,NA,NA,NA,NA,NA,NA,NA,2,3,9,6,6,7,6,2,1,2,NA,3,NA,NA,NA,NA,NA,NA,NA,4,2,3,4,3,2,3,4,3,2,3,3,1,1,1,85,873,8,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,NA,NA,NA,0.727147637,NA,NA,-0.850258229,-0.801451504,FALSE,0,0,1,0,1,21,0,0,10,0,1,0
"22","11434","New York",766,"New York",11434,1,NA,"3",NA,NA,NA,6,2,7,2,1,6,3,3,3,6,2,1,2,NA,3,NA,NA,NA,NA,NA,NA,NA,4,4,4,NA,2,4,3,4,4,1,2,4,1,6,1,105,873,7,8,1,3,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,1,6,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,-0.329521125,0.558250746,0.312987751,0.387815771,42,56,1.094464798,1.279249712,FALSE,0,0,1,0,1,29.5,0,0,10,0,1,0
"23","94015","California",338,"California",94015,1,NA,"1 5",NA,"1 4",NA,7,4,6,3,3,9,5,6,6,6,2,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,4,3,3,2,4,3,3,3,2,3,4,2,3,2,1,225,873,6,11,1,1,1,1,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,1,11,1,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.269578991,0.973025196,1.318000382,0.048483906,42,66,1.823735932,1.626033248,TRUE,1,0,0,0,1,39.5,1,1,125,0,0,1
"24","36606","Alabama",1266,"Alabama",36606,1,NA,"2 5 6",NA,"2 5",NA,7,5,8,2,2,8,6,2,2,6,2,2,3,NA,2,41,2,NA,NA,1,NA,NA,4,4,4,4,4,4,4,3,4,4,3,4,3,1,1,185,873,8,12,1,1,1,0,1,0,0,1,1,0,3,0,1,0,0,1,0,0,0,2,12,1,7,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2.069129049,0.973025196,1.653004592,0.727147637,56,96,2.066826311,1.626033248,FALSE,1,0,0,0,1,49.5,0,1,17.5,0,1,0
"25","30134","Georgia",376,"Georgia",30134,2,2,NA,NA,NA,NA,NA,NA,NA,1,1,3,3,3,2,2,1,2,4,NA,1,4,NA,NA,NA,1,NA,NA,3,2,2,2,1,2,2,1,2,2,2,2,1,1,1,85,873,2,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,-1.308843557,NA,NA,-0.850258229,-0.801451504,FALSE,0,0,1,0,1,21,1,0,10,1,0,0
"26","91007","California",332,"California",91007,1,NA,"5",NA,"1",NA,1,2,10,1,3,10,7,1,1,7,1,2,3,1,NA,12,1,2,NA,NA,NA,NA,3,4,4,4,3,4,4,4,4,1,4,4,3,1,1,265,873,10,3,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-0.329521125,-1.515621508,-1.3620333,1.405811368,10,30,-0.120987094,-0.454667968,FALSE,1,0,0,0,1,29.5,0,1,200,1,0,0
"27","11219","New York",200,"New York",11219,1,NA,"6",NA,"1",NA,1,1,3,1,2,7,5,5,4,6,6,1,6,3,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,4,3,4,4,4,4,3,6,1,105,873,3,2,0,3,3,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1.129071183,-1.515621508,-1.69703751,-0.969511691,3,6,-0.364077472,-0.454667968,FALSE,1,0,0,0,1,39.5,1,1,17.5,1,0,0
"28","90001","California",503,"California",90001,1,NA,"1 6",NA,"1 2",NA,6,5,6,2,1,6,4,4,4,4,5,1,3,NA,1,45,NA,NA,NA,1,2,NA,2,3,3,3,3,3,3,3,2,3,3,3,1,4,1,25,873,6,11,1,2,2,1,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0,2,11,1,6,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2.069129049,0.558250746,1.318000382,0.048483906,36,66,1.823735932,1.279249712,FALSE,0,0,1,0,1,21,0,1,17.5,0,1,0
"29","94530","California",1376,"California",94530,1,NA,"1 4 5",NA,"1 2 3",NA,6,4,5,3,2,7,6,6,6,6,5,1,4,NA,2,25,NA,1,NA,NA,2,NA,2,1,3,3,4,1,4,4,3,1,1,3,3,7,1,245,873,5,10,1,3,3,1,0,0,1,1,0,0,3,1,1,1,0,0,0,0,0,3,10,1,6,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1.269578991,0.558250746,0.982996172,-0.29084796,30,50,1.580645554,1.279249712,FALSE,1,0,0,0,1,21,0,0,87.5,0,0,1
"30","95826","California",414,"California",95826,1,NA,"1 2 4",NA,"2 3 5",NA,5,3,7,2,2,7,6,5,6,5,2,1,2,2,NA,16,1,NA,NA,NA,NA,2,1,4,3,2,3,4,3,4,2,2,3,3,4,1,1,45,873,7,8,1,1,1,1,1,0,1,0,0,0,3,0,1,1,0,1,0,0,0,3,8,1,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.470028933,0.143476295,0.312987751,0.387815771,35,56,1.094464798,0.932466176,FALSE,0,0,0,1,1,29.5,1,1,17.5,0,1,0
"31","90248","California",432,"California",90248,2,10,NA,NA,NA,NA,NA,NA,NA,1,3,10,7,7,4,4,1,1,1,NA,3,25,NA,1,NA,NA,2,NA,4,4,3,4,4,4,4,4,4,3,4,4,1,7,1,125,873,10,NA,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,NA,NA,NA,1.405811368,NA,NA,-0.850258229,-0.801451504,FALSE,0,0,1,0,1,21,0,1,37.5,1,0,0
"32","31206","Georgia",1388,"Georgia",31206,2,10,NA,NA,NA,NA,NA,NA,NA,2,3,10,7,1,7,7,1,2,1,2,NA,25,NA,1,NA,NA,2,NA,3,4,4,4,4,3,4,4,4,4,3,4,3,7,1,165,873,10,NA,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,NA,NA,NA,1.405811368,NA,NA,-0.850258229,-0.801451504,FALSE,1,0,0,0,1,29.5,0,0,10,0,1,0
"33","70814","Louisiana",467,"Louisiana",70814,1,NA,"2 3",NA,"6",NA,3,2,5,2,1,5,7,7,7,7,1,2,1,1,NA,61,2,NA,NA,NA,NA,1,4,4,3,3,3,3,4,2,3,3,2,4,3,4,1,245,873,5,5,1,2,2,0,1,1,0,0,0,0,2,0,0,0,0,0,1,0,0,1,5,1,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,-0.329521125,-0.686072606,-0.692024879,-0.29084796,15,25,0.365193663,0.238899104,FALSE,1,0,0,0,1,29.5,0,1,17.5,0,1,0
"34","31705","Georgia",346,"Georgia",31705,2,7,NA,NA,NA,NA,NA,NA,NA,2,1,5,3,4,3,5,2,2,3,NA,2,34,NA,NA,1,2,NA,NA,3,2,1,2,3,4,2,3,3,3,3,2,3,4,1,165,873,7,NA,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,NA,NA,NA,0.387815771,NA,NA,-0.850258229,-0.801451504,FALSE,1,0,0,0,1,21,0,1,62.5,0,1,0
"35","80927","Colorado",835,"Colorado",80927,2,7,NA,NA,NA,NA,NA,NA,NA,1,1,6,5,4,5,4,2,1,3,1,NA,25,NA,1,NA,NA,2,NA,3,3,3,3,4,3,3,4,3,2,3,4,4,4,1,185,873,7,NA,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,NA,NA,NA,0.387815771,NA,NA,-0.850258229,-0.801451504,FALSE,0,0,0,1,1,49.5,1,1,62.5,1,0,0
"36","10040","New York",838,"New York",10040,1,NA,"3 4 6",NA,"2",NA,1,2,10,1,3,10,6,7,7,6,1,1,1,NA,2,21,2,1,NA,NA,NA,NA,3,3,3,3,3,3,3,4,3,3,3,4,3,7,1,105,873,10,3,0,3,3,0,0,1,1,0,1,0,3,0,1,0,0,0,0,0,0,1,3,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,-0.329521125,-1.515621508,-1.3620333,1.405811368,10,30,-0.120987094,-0.454667968,FALSE,1,0,0,0,1,21,0,1,17.5,1,0,0
"37","92701","California",574,"California",92701,2,10,NA,NA,NA,NA,NA,NA,NA,1,3,10,6,3,6,6,3,1,1,NA,3,NA,NA,NA,NA,NA,NA,NA,2,3,4,4,4,4,3,4,4,1,4,4,3,6,1,85,873,10,NA,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,1.405811368,NA,NA,-0.850258229,-0.801451504,FALSE,1,0,0,0,1,21,1,0,37.5,1,0,0
"38","91762","California",719,"California",91762,1,NA,"1 4 6",NA,"1",NA,5,3,8,2,2,8,7,4,7,6,1,2,4,NA,2,25,NA,1,NA,NA,2,NA,3,3,4,3,3,3,4,4,3,2,3,4,3,6,1,225,873,8,8,1,3,3,1,0,0,1,0,1,0,3,1,0,0,0,0,0,0,0,1,8,1,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.470028933,0.143476295,0.312987751,0.727147637,40,64,1.094464798,0.932466176,FALSE,1,0,0,0,1,21,0,1,87.5,0,1,0
"39","33860","Florida",947,"Florida",33860,1,NA,"3 6",NA,"4 7",NA,5,2,3,1,2,8,4,3,5,6,2,2,4,2,NA,NA,NA,NA,NA,NA,NA,NA,4,3,4,4,4,4,3,3,2,4,4,4,3,4,1,85,873,3,7,0,2,2,0,0,1,0,0,1,0,2,0,0,0,0,0,0,1,0,1,7,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,-0.329521125,0.143476295,-0.022016459,-0.969511691,15,21,0.851374419,0.932466176,FALSE,1,0,0,0,1,29.5,0,1,17.5,1,0,0
"40","34488","Florida",720,"Florida",34488,1,NA,"2 3 4",NA,"2 4 6 7",NA,5,5,4,1,1,6,5,5,5,5,4,1,2,NA,1,52,NA,2,NA,NA,1,NA,3,3,3,3,3,3,3,3,3,3,3,3,2,4,1,185,873,4,10,0,2,2,0,1,1,1,0,0,0,3,0,1,0,0,0,1,1,0,3,10,1,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.069129049,0.143476295,0.982996172,-0.630179826,20,40,1.580645554,0.932466176,FALSE,0,1,0,0,1,21,0,1,37.5,1,0,0
"41","10473","New York",363,"New York",10473,1,NA,"2 4",NA,"2 5 6",NA,5,4,8,1,2,8,6,4,7,6,6,1,2,2,NA,12,1,2,NA,NA,NA,NA,3,3,4,4,3,3,3,4,4,3,3,3,3,2,1,245,873,8,9,0,1,1,0,1,0,1,0,0,0,2,0,1,0,0,1,1,0,0,3,9,1,5,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1.269578991,0.143476295,0.647991961,0.727147637,40,72,1.337555176,0.932466176,FALSE,1,0,0,0,0,29.5,0,0,37.5,1,0,0
"42","35235","Alabama",699,"Alabama",35235,1,NA,"2 6",NA,"2 3",NA,8,2,10,3,3,10,1,7,7,2,2,2,6,2,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,4,4,4,4,4,3,3,4,4,3,1,1,205,873,10,10,1,1,1,0,1,0,0,0,1,0,2,0,1,1,0,0,0,0,0,2,10,1,8,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,-0.329521125,1.387799647,0.982996172,1.405811368,80,100,1.580645554,1.972816784,FALSE,1,0,0,0,1,29.5,0,1,87.5,0,0,1
"43","30457","Georgia",561,"Georgia",30457,1,NA,"2 6",NA,"1 2",NA,7,3,6,2,1,6,1,1,5,5,1,1,2,NA,3,NA,NA,NA,NA,NA,NA,NA,3,3,4,4,3,4,3,2,4,3,3,3,3,1,1,205,873,6,10,1,1,1,0,1,0,0,0,1,0,2,1,1,0,0,0,0,0,0,2,10,1,7,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0.470028933,0.973025196,0.982996172,0.048483906,42,60,1.580645554,1.626033248,FALSE,1,0,0,0,1,21,0,1,37.5,0,1,0
